GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02280,"Wrangell-Petersburg Census Area, AK*",30427,35656,35753,36796,35575,38001,40807,41707,43662,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02282,"Yakutat City and Borough, AK*",29603,28090,30776,34079,38102,38720,41002,41149,47537,43546,47078,52431,54635,61000,59397,54874,49179,50307,53445,58725,58933,63156,63377,63173,64065
02290,"Yukon-Koyukuk Census Area, AK*",21358,24142,24958,26594,27671,29299,30341,33018,36905,38692,41277,45397,47417,45952,49277,48206,50600,51694,54445,55962,57909,62442,65751,68561,73588
02901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
04001,"Apache, AZ",14495,16376,17171,18178,19136,20383,21050,22452,24447,25987,26785,27425,27435,28031,29323,30954,31841,33899,35838,36825,42174,46121,46200,47944,48830
04003,"Cochise, AZ",20688,22188,23253,25218,26439,28018,29367,31406,33066,34227,34677,35401,34570,34424,35349,36648,37181,38914,39624,41289,46875,49857,50543,53450,55303
04005,"Coconino, AZ",23623,24885,25428,26354,27850,29324,31746,33669,35821,34089,34532,36417,36900,38335,40017,42212,43235,46085,47821,48976,52892,58357,58530,61736,63794
04007,"Gila, AZ",19536,20534,21242,22704,23819,25132,26572,28584,30768,31028,31505,32856,31771,32388,33800,35410,35818,38386,39553,40582,45005,49718,50241,53556,57097
04009,"Graham, AZ",14900,15192,15909,17148,18253,19542,21196,22761,25508,23731,24474,25453,26587,27066,28293,28643,28303,29840,31069,32038,35956,39194,41225,42907,44164
04011,"Greenlee, AZ",23821,21183,21171,22615,23394,25155,27429,29398,33652,29433,30440,31186,31072,34642,35501,33494,32631,35492,39317,40517,43197,48332,52784,55713,58574
04012,"La Paz, AZ*",15774,17437,18295,20428,21234,22130,22700,24796,26240,25846,26386,29652,28910,31853,30640,33626,36363,37247,38855,42741,46510,53237,57037,56996,57451
04013,"Maricopa, AZ",29568,29710,30020,31014,33108,35388,38260,39392,38470,35745,36205,37876,39300,39642,41208,42997,44357,46441,48805,51612,56026,61834,64296,68833,72176
04015,"Mohave, AZ",19008,20326,20910,21699,22910,23924,24525,25005,25607,25668,25865,25878,26332,27161,28567,29421,30611,32274,33670,35487,39063,43086,43642,46106,48586
04017,"Navajo, AZ",15076,16693,17447,18939,18965,20187,21364,22564,23742,24640,24645,25498,25803,26564,27092,28191,29581,31145,32782,33464,38616,42431,42923,45016,46577
04019,"Pima, AZ",24894,26669,26838,27938,29058,30734,32895,34258,35939,33892,34100,35335,36317,36562,37431,38569,39720,41944,43614,45477,49629,53840,54802,58535,60425
04021,"Pinal, AZ",17524,18309,18742,19425,21654,24098,24936,25195,26719,24491,23901,25590,26326,28015,28888,30121,31534,33300,35024,37329,41088,44906,46908,49098,50771
04023,"Santa Cruz, AZ",17147,19741,19639,23355,22454,23685,25088,26735,27618,28094,28972,30109,30563,30362,31753,32360,33069,35441,36883,38110,43187,48024,46579,49886,50841
04025,"Yavapai, AZ",21621,22560,22823,23717,25463,27259,28637,30149,30856,29426,29237,30534,31146,32357,34272,35644,36834,39089,40727,42739,46938,50919,52023,57376,60854
04027,"Yuma, AZ*",17937,18747,20228,21615,23540,24215,24859,26307,26715,26792,27794,28566,28317,30044,29777,31989,33075,34851,35304,36950,42177,44513,44828,46666,47582
